"","p","replicate","edge_density","mean_distance","mean_nearest_distance","num_patches","mean_patch_area"
"149",0.1,49,3170,49.1520370562325,1.34041383240108,359,4.22841225626741
"150",0.1,50,3325,50.377156585463,1.34674284999487,396,3.84343434343434
"151",0.1,51,3185,50.2040648316655,1.38319018447025,377,3.84084880636605
"152",0.1,52,3309,51.4590541224378,1.3034099022895,358,4.62849162011173
"153",0.1,53,3118,51.5675719610203,1.43283080502552,383,3.75718015665796
"154",0.1,54,3330,51.0537582956905,1.31244450160656,412,3.69902912621359
"155",0.1,55,3059,50.0517393494918,1.4005891417502,364,3.92307692307692
"156",0.1,56,3123,49.6985932423866,1.36976248316304,369,4.09756097560976
"157",0.1,57,3311,50.3682559500312,1.38665156564681,381,3.93700787401575
"158",0.1,58,3232,51.3938254308179,1.35057510883155,390,3.70769230769231
"159",0.1,59,3093,51.0552518569166,1.40109006347607,383,3.84073107049608
"160",0.1,60,3277,50.008193847314,1.29554413452557,409,3.6479217603912
"161",0.1,61,3223,50.808200787885,1.29968097155592,401,3.81795511221945
"162",0.1,62,2989,51.0342579205988,1.36347493622694,382,3.51047120418848
"163",0.1,63,3214,50.9408848471961,1.3510326195512,397,3.71788413098237
"164",0.1,64,3098,51.3114505580847,1.33897767783521,395,3.53924050632911
"165",0.1,65,3252,50.7168045679486,1.33910692677651,402,3.74129353233831
"166",0.1,66,3269,50.976722548892,1.33207400948431,407,3.61425061425061
"167",0.1,67,3157,50.4841327921296,1.41154608213398,384,3.75520833333333
"168",0.1,68,3133,51.0381676829863,1.32413208910826,363,4.16528925619835
"169",0.1,69,3177,50.1700092153406,1.35630145310178,368,4.21195652173913
"170",0.1,70,3079,50.1261272504609,1.3812330115637,373,4.04289544235925
"171",0.1,71,3056,51.0869084367691,1.37041263008625,395,3.60253164556962
"172",0.1,72,3422,50.9148647409255,1.33734636091469,392,4.13520408163265
"173",0.1,73,3314,51.222012667533,1.3500921834444,353,4.6685552407932
"174",0.1,74,3183,51.242090210531,1.43149417944301,366,4.19672131147541
"175",0.1,75,3328,49.4497441593802,1.27422319966466,371,4.52291105121294
"176",0.1,76,3023,50.3607649506909,1.41027899487706,366,3.84972677595628
"177",0.1,77,2986,50.2869286026361,1.38344961116541,346,4.0635838150289
"178",0.1,78,3096,50.3865817606708,1.35915789349238,376,3.80053191489362
"179",0.1,79,3030,49.9845963368941,1.36571595116517,385,3.6025974025974
"180",0.1,80,3291,50.995867920393,1.32206818578411,376,4.25531914893617
"181",0.1,81,3164,50.5468835819485,1.36139708871343,372,4.06451612903226
"182",0.1,82,3158,50.571900278886,1.43404771083393,381,3.98162729658793
"183",0.1,83,3312,50.4845781224881,1.23485384124367,374,4.4144385026738
"184",0.1,84,2883,52.3445668573806,1.43614742560607,373,3.49329758713137
"185",0.1,85,3251,50.5599410766871,1.40901066592711,383,3.99216710182768
"186",0.1,86,3281,50.5755174699418,1.35440621149806,378,4.13227513227513
"187",0.1,87,2809,49.5164071516176,1.44792408487846,345,3.8231884057971
"188",0.1,88,3218,50.3981642187313,1.39207489013407,366,4.36065573770492
"189",0.1,89,3074,49.9177300798014,1.40807299306649,379,3.78627968337731
"190",0.1,90,3242,49.6480202097121,1.34000118568193,370,4.29189189189189
"191",0.1,91,3491,50.5872379908039,1.31606267961796,376,4.71808510638298
"192",0.1,92,3122,51.4684804326905,1.39277277249977,395,3.53924050632911
"193",0.1,93,3257,50.888090059406,1.31081312325302,382,4.00785340314136
"194",0.1,94,3003,49.9168595782758,1.35290279478815,393,3.34096692111959
"195",0.1,95,3289,50.5786437663717,1.39048801542877,352,4.65056818181818
"196",0.1,96,3136,50.7309492887644,1.34300148634679,368,4.02445652173913
